;;;;;;;;;;;;"reported significance as indicated by eye-catcher (""stars""): 1 means p-value smaller than 0.01, 5 means p-value smaller than 0.05 and so on. If no significance reported, type in 0. Use German decimal seperator, i.e. "","" instead of "".""";"significance thresholds in the paper by which results are distinguished; e.g. if there are three thresholds <0.01, <0.05, <0.1, then S(10), S(5) and S(1) should contain 1 and S(0.1) and S(15) should contain zero";;;;;coder: HK for Henning Kosmalla and PP for Peter Pütz;cross-checked: yes (1) or no(0);;;
2005;American Economic Review;95.1;66;Abiad;8;4;3;;;1.47;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;8;4;4;;;1.67;;10;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;9;1;2;;;2.65;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;9;1;5;;;2.15;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;9;14;2;;;1.83;;10;0;1;1;1;0;PP;;;1;
2005;American Economic Review;95.1;66;Abiad;9;14;5;;;1.45;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;9;16;2;;;2.23;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;9;16;5;;;1.98;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;9;2;2;;;2.37;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;9;2;5;;;1.14;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;9;3;2;;;0.16;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;9;3;5;;;0.93;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;9;4;2;;;1.83;;10;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;66;Abiad;9;4;5;;;3.55;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;255;Chowdhry;7;1;8;;;;0.069;;;;;;;;;;;
2005;American Economic Review;95.1;255;Chowdhry;7;2;8;;;;0.658;;;;;;;;;;;
2005;American Economic Review;95.1;255;Chowdhry;7;3;8;;;;0.895;;;;;;;;;;;
2005;American Economic Review;95.1;255;Chowdhry;7;4;8;;;;0.005;;;;;;;;;;;
2005;American Economic Review;95.1;255;Chowdhry;7;5;8;;;;0.444;;;;;;;;;;;
2005;American Economic Review;95.1;255;Chowdhry;7;6;8;;;;0.613;;;;;;;;;;;
2005;American Economic Review;95.1;255;Chowdhry;7;7;8;;;;0.295;;;;;;;;;;;
2005;American Economic Review;95.1;255;Chowdhry;7;8;8;;;;0.954;;;;;;;;;;;
2005;American Economic Review;95.1;255;Chowdhry;7;9;8;;;;0.647;;;;;;;;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;1;1;1.36;0.33;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;1;2;1.28;0.57;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;1;3;0.8;0.61;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;10;1;5.1;0.57;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;10;2;3.48;0.91;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;10;3;1.88;0.97;;;10;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;11;1;0.39;0.45;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;11;2;1.22;0.56;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;11;3;1.46;0.5;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;12;1;2.97;0.72;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;12;2;2.62;1.03;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;12;3;1.93;0.92;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;13;1;-1.76;0.51;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;13;2;-0.77;0.73;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;13;3;0.14;0.66;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;14;1;0.47;0.1;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;14;2;-0.04;0.14;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;14;3;-0.16;0.07;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;2;1;2.11;0.4;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;2;2;2.88;0.56;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;2;3;1.97;0.54;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;3;1;1.67;0.42;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;3;2;1.81;0.6;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;3;3;1.09;0.66;;;10;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;4;1;3.43;0.89;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;4;2;4.42;1.13;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;4;3;3.73;0.93;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;5;1;4.39;1.42;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;5;2;4.12;2.19;;;10;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;5;3;3.76;1.82;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;6;1;-0.83;0.24;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;6;2;-0.79;0.29;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;6;3;-0.59;0.27;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;7;1;0.95;0.34;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;7;2;0.61;0.57;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;7;3;0.55;0.58;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;8;1;3;0.51;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;8;2;3.29;0.54;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;8;3;1.53;0.63;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;9;1;1.08;0.39;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;9;2;1.65;0.54;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.1;425;Grkaynak;1;9;3;0.92;0.51;;;10;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_A;1;4;;;;0.187;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_A;2;4;;;;0.37;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_A;3;4;;;;0.426;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_A;4;4;;;;0.829;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_A;5;4;;;;0.291;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_A;6;4;;;;0;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_A;7;4;;;;0.113;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_A;8;4;;;;0.258;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_A;9;4;;;;0.126;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_B;1;4;;;;0.028;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_B;10;4;;;;0.481;0;0;1;1;1;0;PP;;;1;
2005;American Economic Review;95.3;477;Cooper;4_B;2;4;;;;0.005;1;0;1;1;1;0;PP;;;1;
2005;American Economic Review;95.3;477;Cooper;4_B;3;4;;;;1;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_B;4;4;;;;0.499;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_B;5;4;;;;0.446;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_B;6;4;;;;0.276;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_B;7;4;;;;0.03;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_B;8;4;;;;1;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;4_B;9;4;;;;0.644;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;2;1;0.568;0.133;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;2;2;0.525;0.14;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;2;3;0.548;0.14;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;3;1;0.815;0.189;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;3;2;0.748;0.204;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;3;3;0.784;0.208;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;4;1;0.316;0.187;;;10;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;4;2;0.299;0.187;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;4;3;0;0.529;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;5;1;0.24;0.211;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;5;2;0.197;0.223;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;5;3;-0.206;0.722;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;6;1;0.17;0.274;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;6;2;0.164;0.269;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_1;6;3;-0.232;0.809;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;10;1;0.909;0.26;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;10;2;0.709;0.225;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;10;3;0.81;0.232;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;11;1;1.312;0.336;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;11;2;0.48;0.309;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;11;3;0.669;0.33;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;13;1;1.32;0.307;;;1;0;1;1;1;0;PP;;;;
2011;Journal of Political Economy;119.5;821;Aaronson;5;1;8;1.077;0.635;;;0;0;1;1;1;0;PP;1;196930;;
2005;American Economic Review;95.3;477;Cooper;A_2;13;3;1.228;0.393;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;2;1;0.795;0.157;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;2;2;0.27;0.177;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;2;3;0.212;0.188;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;3;1;1.006;0.244;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;3;2;0.149;0.311;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;3;3;0.04;0.348;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;4;1;0.809;0.221;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;4;2;0.19;0.238;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;4;3;0.119;0.251;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;5;1;0.915;0.235;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;5;2;0.605;0.236;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;5;3;0.585;0.238;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;6;1;1.23;0.227;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;6;2;0.638;0.248;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;6;3;0.576;0.258;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;7;1;1.463;0.236;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;7;2;0.628;0.275;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;7;3;0.526;0.296;;;10;0;1;1;1;0;PP;;;1;
2005;American Economic Review;95.3;477;Cooper;A_2;8;1;0.424;0.189;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;8;2;-0.046;0.195;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;8;3;-0.149;0.207;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;9;1;0.553;0.197;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;9;2;0.463;0.205;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_2;9;3;0.469;0.2;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;10;1;0.349;0.274;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;10;2;0.322;0.265;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;10;3;0.61;0.296;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;10;4;0.323;0.305;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;2;1;0.781;0.24;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;2;2;0.413;0.298;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;3;1;1.596;0.238;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;3;2;1.244;0.265;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;4;1;1.56;0.281;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;4;2;1.023;0.375;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;5;1;1.45;0.299;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;5;2;1.162;0.343;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;6;1;1.17;0.308;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;6;2;0.738;0.404;;;10;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;8;1;-0.439;0.264;;;10;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;8;2;-0.648;0.37;;;10;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;8;3;0.692;0.215;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;8;4;0.415;0.221;;;10;0;1;1;1;0;PP;;;1;
2005;American Economic Review;95.3;477;Cooper;A_3_1;9;1;-0.453;0.258;;;10;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;9;2;-0.627;0.255;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;9;3;0.444;0.25;;;10;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;477;Cooper;A_3_1;9;4;0.153;0.289;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;530;Plott;5;1;2;;;;0.9368;0;0;0;1;0;0;PP;;;;
2005;American Economic Review;95.3;530;Plott;5;1;5;;;;0.843;0;0;0;1;0;0;PP;;;;
2005;American Economic Review;95.3;530;Plott;5;2;2;;;;0.3536;0;0;0;1;0;0;PP;;;;
2005;American Economic Review;95.3;530;Plott;5;2;5;;;;0.694;0;0;0;1;0;0;PP;;;;
2005;American Economic Review;95.3;530;Plott;5;3;2;;;;0.0821;0;0;0;1;0;0;PP;;;;
2005;American Economic Review;95.3;530;Plott;5;3;5;;;;0.218;0;0;0;1;0;0;PP;;;;
2005;American Economic Review;95.3;530;Plott;5;4;2;;;;0.205;0;0;0;1;0;0;PP;;;;
2005;American Economic Review;95.3;530;Plott;5;4;5;;;;0.245;0;0;0;1;0;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;2;1;1;-4.71;1.01;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;2;2;2;-0.77;0.23;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;2;2;3;-0.27;0.24;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;2;2;4;-0.71;0.22;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;2;2;5;-0.004;0.006;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;2;2;6;0.01;0.02;;;0;0;1;1;1;0;PP;;;;
2011;Journal of Political Economy;119.5;821;Aaronson;5;10;3;-0.071;0.024;;;0;0;1;1;1;0;PP;1;980020;;
2005;American Economic Review;95.3;780;Burgess;2;3;3;0.15;0.26;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;2;3;4;0.99;0.33;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;2;3;5;-0.01;0.01;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;2;3;6;-0.01;0.02;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;2;4;2;-1.15;0.34;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;2;4;3;-0.31;0.38;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;2;4;4;-1.04;0.31;;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;2;4;5;0.05;0.02;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;2;4;6;-0.02;0.01;;;0;0;1;1;1;0;PP;;;;
2011;Journal of Political Economy;119.5;821;Aaronson;5;13;4;0.090;0.036;;;1;0;1;1;1;0;PP;1;980020;;
2005;American Economic Review;95.3;780;Burgess;3;1;10;0.05;0.08;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;3;1;2;1.16;1.02;;;0;0;1;1;1;0;PP;;;;
2011;Journal of Political Economy;119.5;821;Aaronson;5;3;3;-0.071;0.024;;;0;0;1;1;1;0;PP;1;980020;;
2005;American Economic Review;95.3;780;Burgess;3;1;4;-0.66;1.07;;;0;0;1;1;1;0;PP;;;;
2011;Journal of Political Economy;119.5;821;Aaronson;5;4;4;0.090;0.036;;;1;0;1;1;1;0;PP;1;980020;;
2005;American Economic Review;95.3;780;Burgess;3;1;6;-4.7;1.82;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;3;1;7;-6.84;2.81;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;3;1;8;-4.21;2.26;;;10;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;3;1;9;0.08;0.04;;;10;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;4;1;1;-1.52;0.69;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;4;1;3;-0.67;0.47;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;4;1;5;-1.37;0.59;;;5;0;1;1;1;0;PP;;;;
2011;Journal of Political Economy;119.5;821;Aaronson;5;8;3;0.056;0.019;;;0;0;1;1;1;0;PP;1;980020;;
2005;American Economic Review;95.3;780;Burgess;4;2;4;-1.05;0.67;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;4;2;6;-2.01;0.65;;;1;0;1;1;1;0;PP;;;;
2011;Journal of Political Economy;119.5;821;Aaronson;5;8;8;1.077;0.635;;;0;0;1;1;1;0;PP;1;196930;;
2005;American Economic Review;95.3;780;Burgess;5;1;2;-3.77;1.54;;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;5;1;3;-1.05;1.06;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.3;780;Burgess;5;1;4;-0.81;0.91;;;0;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.4;960;Alesina;1;1;1;;;2.925;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.4;960;Alesina;1;1;2;;;3.064;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.4;960;Alesina;1;1;3;;;3.305;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.4;960;Alesina;1;1;4;;;2.521;;5;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.4;960;Alesina;2;1;2;;;3.69;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.4;960;Alesina;2;1;3;;;3.78;;1;0;1;1;1;0;PP;;;;
2005;American Economic Review;95.4;981;Snyder;3;1;1;0.15;0.046;;;1;0;0;0;1;0;PP;;;;
2005;American Economic Review;95.4;981;Snyder;3;1;3;0.24;0.041;;;1;0;0;0;1;0;PP;;;;
2005;American Economic Review;95.4;981;Snyder;3;2;1;1.11;0.13;;;1;0;0;0;1;0;PP;;;;
2005;American Economic Review;95.4;981;Snyder;3;2;3;1.01;0.12;;;1;0;0;0;1;0;PP;;;;
2005;American Economic Review;95.4;981;Snyder;3;3;2;0.66;0.036;;;1;0;0;0;1;0;PP;;;;
2005;American Economic Review;95.4;981;Snyder;3;3;4;0.73;0.034;;;1;0;0;0;1;0;PP;;;;
2005;American Economic Review;95.4;981;Snyder;3;4;2;1.04;0.2;;;1;0;0;0;1;0;PP;;;;
2005;American Economic Review;95.4;981;Snyder;3;4;4;0.9;0.179;;;1;0;0;0;1;0;PP;;;;
2005;American Economic Review;95.4;1005;Pagano;3_A;1;1;-0.72;0.19;;;1;0;1;1;1;0;PP;;;;
