"ID","Year","Journal","Issue","First.article.page","First.author","Table","Row","Column","Coefficient..as.reported.in.the.article.","Standard.error..as.reported.in.the.article.","t.value...z.value..as.reported.in.the.article.","Lower.derounding.bound.of.t.value..this.is.the.smallest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Upper.derounding.bound.of.t.value..this.is.the.largest.t.value.consistent.with.the.reported.statistical.values..rounded.to.6.decimal.places.","Type.of.test..as.reported.in.the.article.","p.value.interval.as.implied.by.reported.statistical.values...this.is.the.p.value.interval.corresponding.to.the.lower.and.upper.derounding.bound.of.the.t.value.and.the.type.of.test..using.the.standard.normal.distribution.and.rounded.to.6.decimal.places.","p.value.interval.as.reported.by.means.of.eye.catchers","error_id"
1,2010,"Quarterly Journal of Economics",125.2,729,"Anderson","10",1,1,-0.126,0.053,NA,2.345794,2.409524,"two sided","0.015973 < p < 0.018987","0 < p < 0.01","Anderson_729_10_1_1"
2,2010,"Quarterly Journal of Economics",125.2,729,"Anderson","10",6,1,1.004,0.062,NA,16.056,16.333333,"two sided","0.000000 < p < 0.000001","0.05 < p < 1","Anderson_729_10_6_1"
3,2010,"Quarterly Journal of Economics",125.2,729,"Anderson","3",5,3,-6.9,2.6,NA,2.584906,2.72549,"two sided","0.006421 < p < 0.009741","0.01 < p < 0.05","Anderson_729_3_5_3"
1,2005,"American Economic Review",95.5,1712,"Ashcraft","1_A",2,5,-0.0097,0.0053,NA,1.803738,1.857143,"two sided","0.063291 < p < 0.071272","0.01 < p < 0.05","Ashcraft_1712_1_A_2_5"
2,2005,"American Economic Review",95.5,1712,"Ashcraft","4_A",2,2,-0.2746,0.071,NA,3.83986,3.895745,"two sided","0.000098 < p < 0.000123","0.01 < p < 0.05","Ashcraft_1712_4_A_2_2"
3,2005,"American Economic Review",95.5,1712,"Ashcraft","4_A",3,3,-0.099,0.0333,NA,2.953523,2.992481,"two sided","0.002767 < p < 0.003142","0.01 < p < 0.05","Ashcraft_1712_4_A_3_3"
4,2005,"American Economic Review",95.5,1712,"Ashcraft","4_A",4,2,-0.1024,0.0506,NA,2.020731,2.026706,"two sided","0.042692 < p < 0.043308","0.05 < p < 0.1","Ashcraft_1712_4_A_4_2"
5,2005,"American Economic Review",95.5,1712,"Ashcraft","4_A",4,4,-0.127,0.0813,NA,1.555009,1.569231,"two sided","0.116594 < p < 0.119944","0.05 < p < 0.1","Ashcraft_1712_4_A_4_4"
1,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","6",1,1,234.678,101.748,NA,2.306447,2.306479,"two sided","0.021084 < p < 0.021086","0.05 < p < 0.1","Ashraf_635_6_1_1"
2,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","6",1,5,0.102,3.82,NA,0.026536,0.026868,"two sided","0.978565 < p < 0.978830","0 < p < 0.01","Ashraf_635_6_1_5"
3,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",1,2,118.04,3.926,NA,30.062269,30.070182,"two sided","0.000000 < p < 0.000001","0.1 < p < 1","Ashraf_635_7_1_2"
4,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",1,3,317.49,19.913,NA,15.94343,15.944281,"two sided","0.000000 < p < 0.000001","0.01 < p < 0.05","Ashraf_635_7_1_3"
5,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",10,3,21.58,8.512,NA,2.535037,2.535452,"two sided","0.011230 < p < 0.011244","0.1 < p < 1","Ashraf_635_7_10_3"
6,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",11,3,37.62,129.382,NA,0.290762,0.290772,"two sided","0.771226 < p < 0.771233","0 < p < 0.01","Ashraf_635_7_11_3"
7,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",11,4,15.03,4.896,NA,3.069437,3.070269,"two sided","0.002139 < p < 0.002145","0.05 < p < 0.1","Ashraf_635_7_11_4"
8,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",13,2,8.74,9.395,NA,0.930179,0.930385,"two sided","0.352172 < p < 0.352278","0 < p < 0.01","Ashraf_635_7_13_2"
9,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",13,3,6.55,54.939,NA,0.119213,0.119233,"two sided","0.905091 < p < 0.905107","0 < p < 0.01","Ashraf_635_7_13_3"
10,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",13,4,6.55,7.744,NA,0.845697,0.845935,"two sided","0.397589 < p < 0.397722","0 < p < 0.01","Ashraf_635_7_13_4"
11,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",15,4,61.77,251.61,NA,0.245497,0.245501,"two sided","0.806068 < p < 0.806072","0 < p < 0.01","Ashraf_635_7_15_4"
12,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",17,4,172.17,8.994,NA,19.141642,19.143882,"two sided","0.000000 < p < 0.000001","0.1 < p < 1","Ashraf_635_7_17_4"
13,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",18,3,265.06,18.646,NA,14.214973,14.215789,"two sided","0.000000 < p < 0.000001","0.1 < p < 1","Ashraf_635_7_18_3"
14,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",2,3,327.15,274.125,NA,1.19343,1.193438,"two sided","0.232698 < p < 0.232701","0.01 < p < 0.05","Ashraf_635_7_2_3"
15,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",3,3,20,12.109,NA,1.651555,1.651774,"two sided","0.098581 < p < 0.098625","0.1 < p < 1","Ashraf_635_7_3_3"
16,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",5,2,50.3,109.491,NA,0.459392,0.459405,"two sided","0.645943 < p < 0.645953","0 < p < 0.01","Ashraf_635_7_5_2"
17,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",7,2,56.33,135.428,NA,0.415935,0.415946,"two sided","0.677450 < p < 0.677457","0 < p < 0.01","Ashraf_635_7_7_2"
18,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",7,3,42.51,2.272,NA,18.706051,18.714726,"two sided","0.000000 < p < 0.000001","0.01 < p < 0.05","Ashraf_635_7_7_3"
19,2006,"Quarterly Journal of Economics",121.2,635,"Ashraf","7",9,3,62,141.573,NA,0.437932,0.437942,"two sided","0.661429 < p < 0.661436","0 < p < 0.01","Ashraf_635_7_9_3"
20,2009,"American Economic Review",99.4,1245,"Ashraf","3",2,2,-0.262,0.095,NA,2.73822,2.777778,"two sided","0.005473 < p < 0.006177","0.01 < p < 0.05","Ashraf_1245_3_2_2"
21,2009,"American Economic Review",99.4,1245,"Ashraf","3",2,5,0.18,0.088,NA,1.977401,2.114286,"two sided","0.034491 < p < 0.047996","0.05 < p < 0.1","Ashraf_1245_3_2_5"
22,2009,"American Economic Review",99.4,1245,"Ashraf","3",2,6,0.151,0.093,NA,1.609626,1.637838,"two sided","0.101456 < p < 0.107480","0.05 < p < 0.1","Ashraf_1245_3_2_6"
23,2009,"American Economic Review",99.4,1245,"Ashraf","4",3,2,-0.726,0.276,NA,2.62387,2.637024,"two sided","0.008364 < p < 0.008694","0.01 < p < 0.05","Ashraf_1245_4_3_2"
24,2009,"American Economic Review",99.4,1245,"Ashraf","4",4,1,-0.521,0.217,NA,2.393103,2.408776,"two sided","0.016006 < p < 0.016707","0 < p < 0.01","Ashraf_1245_4_4_1"
25,2009,"American Economic Review",99.4,1245,"Ashraf","4",4,3,0.397,0.196,NA,2.017812,2.033248,"two sided","0.042027 < p < 0.043611","0.05 < p < 0.1","Ashraf_1245_4_4_3"
26,2009,"American Economic Review",99.4,1245,"Ashraf","4",6,3,-0.562,0.234,NA,2.394456,2.408994,"two sided","0.015997 < p < 0.016645","0 < p < 0.01","Ashraf_1245_4_6_3"
27,2009,"American Economic Review",99.4,1245,"Ashraf","A_3_1",1,1,-0.166,0.107,NA,1.539535,1.56338,"two sided","0.117963 < p < 0.123674","0.05 < p < 0.1","Ashraf_1245_A_3_1_1_1"
28,2009,"American Economic Review",99.4,1245,"Ashraf","A_3_1",1,3,0.146,0.085,NA,1.701754,1.733728,"two sided","0.082966 < p < 0.088801","0.1 < p < 1","Ashraf_1245_A_3_1_1_3"
29,2009,"American Economic Review",99.4,1245,"Ashraf","A_3_1",2,5,0.139,0.082,NA,1.678788,1.711656,"two sided","0.086960 < p < 0.093193","0.1 < p < 1","Ashraf_1245_A_3_1_2_5"
30,2009,"American Economic Review",99.4,1245,"Ashraf","A_3_2",1,6,-0.201,0.077,NA,2.587097,2.633987,"two sided","0.008439 < p < 0.009679","0.01 < p < 0.05","Ashraf_1245_A_3_2_1_6"
31,2009,"American Economic Review",99.4,1245,"Ashraf","A_4_1",1,3,0.246,0.089,NA,2.743017,2.785311,"two sided","0.005348 < p < 0.006088","0.01 < p < 0.05","Ashraf_1245_A_4_1_1_3"
32,2009,"American Economic Review",99.4,1245,"Ashraf","A_4_1",2,1,-0.275,0.099,NA,2.758794,2.796954,"two sided","0.005159 < p < 0.005802","0.1 < p < 1","Ashraf_1245_A_4_1_2_1"
33,2009,"American Economic Review",99.4,1245,"Ashraf","A_4_1",2,5,0.221,0.078,NA,2.808917,2.858065,"two sided","0.004262 < p < 0.004971","0.01 < p < 0.05","Ashraf_1245_A_4_1_2_5"
34,2009,"American Economic Review",99.4,1245,"Ashraf","A_4_1",3,4,0.582,0.209,NA,2.775656,2.793765,"two sided","0.005210 < p < 0.005509","0.01 < p < 0.05","Ashraf_1245_A_4_1_3_4"
35,2009,"American Economic Review",99.4,1245,"Ashraf","A_4_2",1,6,-0.137,0.075,NA,1.807947,1.845638,"two sided","0.064945 < p < 0.070615","0.01 < p < 0.05","Ashraf_1245_A_4_2_1_6"
1,2010,"Journal of Political Economy",118.3,599,"Asker","6",10,2,0.128,0.069,NA,1.834532,1.875912,"two sided","0.060667 < p < 0.066575","0.1 < p < 1","Asker_599_6_10_2"
2,2010,"Journal of Political Economy",118.3,599,"Asker","6",6,3,0.26,0.078,NA,3.305732,3.36129,"two sided","0.000776 < p < 0.000947","0.01 < p < 0.05","Asker_599_6_6_3"
1,2007,"Quarterly Journal of Economics",122.4,1721,"Bartel","3",1,1,-0.805,0.34,NA,2.331884,2.404478,"two sided","0.016196 < p < 0.019707","0 < p < 0.01","Bartel_1721_3_1_1"
2,2007,"Quarterly Journal of Economics",122.4,1721,"Bartel","3",2,4,-0.168,0.067,NA,2.481481,2.533835,"two sided","0.011282 < p < 0.013084","0 < p < 0.01","Bartel_1721_3_2_4"
3,2007,"Quarterly Journal of Economics",122.4,1721,"Bartel","3",3,5,-0.915,0.45,NA,2.00989,2.057303,"two sided","0.039657 < p < 0.044443","0.05 < p < 0.1","Bartel_1721_3_3_5"
4,2007,"Quarterly Journal of Economics",122.4,1721,"Bartel","3",5,4,0.093,0.055,NA,1.666667,1.715596,"two sided","0.086236 < p < 0.095581","0.1 < p < 1","Bartel_1721_3_5_4"
5,2007,"Quarterly Journal of Economics",122.4,1721,"Bartel","4",2,4,0.804,0.411,NA,1.952612,1.959805,"two sided","0.050019 < p < 0.050866","0.01 < p < 0.05","Bartel_1721_4_2_4"
6,2007,"Quarterly Journal of Economics",122.4,1721,"Bartel","4",2,8,0.818,0.434,NA,1.881473,1.88812,"two sided","0.059010 < p < 0.059908","0.01 < p < 0.05","Bartel_1721_4_2_8"
1,2009,"American Economic Review",99.4,1218,"Besley","1",1,2,0.647,0.191,NA,3.375979,3.39895,"two sided","0.000676 < p < 0.000736","0.01 < p < 0.05","Besley_1218_1_1_2"
2,2009,"American Economic Review",99.4,1218,"Besley","1",2,1,0.953,0.059,NA,16.008403,16.299145,"two sided","0.000000 < p < 0.000001","0.1 < p < 1","Besley_1218_1_2_1"
3,2009,"American Economic Review",99.4,1218,"Besley","2",1,2,0.598,0.241,NA,2.47412,2.488565,"two sided","0.012826 < p < 0.013356","0 < p < 0.01","Besley_1218_2_1_2"
4,2009,"American Economic Review",99.4,1218,"Besley","2",2,1,0.143,0.077,NA,1.83871,1.875817,"two sided","0.060680 < p < 0.065958","0.1 < p < 1","Besley_1218_2_2_1"
1,2006,"Quarterly Journal of Economics",121.3,999,"Bjoerklund","3",6,4,0.062,0.026,NA,2.320755,2.45098,"two sided","0.014247 < p < 0.020300","0 < p < 0.01","Bjoerklund_999_3_6_4"
1,2005,"Quarterly Journal of Economics",120.2,669,"Black","4",3,4,0.001,0.008,NA,0.058824,0.2,"two sided","0.841481 < p < 0.953093","0 < p < 0.05","Black_669_4_3_4"
2,2005,"Quarterly Journal of Economics",120.2,669,"Black","6",1,9,-0.284,0.172,NA,1.643478,1.658892,"two sided","0.097138 < p < 0.100284","0 < p < 0.05","Black_669_6_1_9"
3,2005,"Quarterly Journal of Economics",120.2,669,"Black","9",14,4,-0.212,0.087,NA,2.417143,2.456647,"two sided","0.014024 < p < 0.015643","0.05 < p < 1","Black_669_9_14_4"
1,2007,"Quarterly Journal of Economics",122.1,73,"Bleakey","2_A",2,1,0.0608,0.0261,NA,2.323136,2.335893,"two sided","0.019497 < p < 0.020172","0 < p < 0.01","Bleakey_73_2_A_2_1"
2,2007,"Quarterly Journal of Economics",122.1,73,"Bleakey","4",2,4,-0.0212,0.0124,NA,1.698795,1.720648,"two sided","0.085315 < p < 0.089358","0.1 < p < 1","Bleakey_73_4_2_4"
1,2009,"American Economic Review",99.1,350,"Boivin","4",2,7,0.313,0.111,NA,2.802691,2.837104,"two sided","0.004552 < p < 0.005068","0.01 < p < 0.05","Boivin_350_4_2_7"
2,2009,"American Economic Review",99.1,350,"Boivin","6",4,4,-0.034,0.013,NA,2.481481,2.76,"two sided","0.005780 < p < 0.013084","0.05 < p < 1","Boivin_350_6_4_4"
14,2009,"Journal of Political Economy",117.4,668,"Brown","4",1,4,0.498,0.192,NA,2.584416,2.603133,"two sided","0.009238 < p < 0.009754","0.01 < p < 0.05","Brown_668_4_1_4"
16,2010,"Quarterly Journal of Economics",125.2,859,"Brown","4",4,1,-0.47,0.266,NA,1.761726,1.772128,"two sided","0.076373 < p < 0.078116","0.01 < p < 0.05","Brown_859_4_4_1"
17,2011,"Journal of Political Economy",119.5,982,"Brown","2",1,3,1.358,0.726,NA,1.868548,1.872502,"two sided","0.061137 < p < 0.061686","0.01 < p < 0.05","Brown_982_2_1_3"
18,2011,"Journal of Political Economy",119.5,982,"Brown","2",2,3,0.804,0.318,NA,2.522763,2.533858,"two sided","0.011281 < p < 0.011644","0 < p < 0.01","Brown_982_2_2_3"
19,2011,"Journal of Political Economy",119.5,982,"Brown","4",3,3,1.21,0.484,NA,2.496388,2.503619,"two sided","0.012293 < p < 0.012547","0 < p < 0.01","Brown_982_4_3_3"
20,2011,"Journal of Political Economy",119.5,982,"Brown","5",2,4,2.276,0.961,NA,2.366615,2.37012,"two sided","0.017782 < p < 0.017952","0 < p < 0.01","Brown_982_5_2_4"
21,2011,"Journal of Political Economy",119.5,982,"Brown","5",4,3,0.669,0.365,NA,1.829001,1.836763,"two sided","0.066245 < p < 0.067399","0.01 < p < 0.05","Brown_982_5_4_3"
22,2011,"Journal of Political Economy",119.5,982,"Brown","5",5,3,1.377,0.369,NA,3.725304,3.738128,"two sided","0.000185 < p < 0.000195","0.01 < p < 0.05","Brown_982_5_5_3"
1,2006,"Journal of Political Economy",114.1,61,"Brown","4",6,2,0.173,0.072,NA,2.37931,2.426573,"two sided","0.015242 < p < 0.017345","0 < p < 0.01","Brown_61_4_6_2"
2,2006,"Journal of Political Economy",114.1,61,"Brown","4",7,2,0.012,0.006,NA,1.769231,2.272727,"two sided","0.023043 < p < 0.076855","0 < p < 0.01","Brown_61_4_7_2"
3,2006,"Journal of Political Economy",114.1,61,"Brown","6",2,4,0.451,0.182,NA,2.468493,2.487603,"two sided","0.012861 < p < 0.013568","0 < p < 0.01","Brown_61_6_2_4"
4,2006,"Journal of Political Economy",114.1,61,"Brown","6",4,3,0.362,0.143,NA,2.519164,2.54386,"two sided","0.010964 < p < 0.011763","0 < p < 0.01","Brown_61_6_4_3"
5,2006,"Journal of Political Economy",114.1,61,"Brown","6",6,4,0.355,0.143,NA,2.470383,2.494737,"two sided","0.012605 < p < 0.013497","0 < p < 0.01","Brown_61_6_6_4"
6,2006,"Journal of Political Economy",114.1,61,"Brown","A_1",1,3,-0.026,0.011,NA,2.217391,2.52381,"two sided","0.011609 < p < 0.026596","0 < p < 0.01","Brown_61_A_1_1_3"
7,2006,"Journal of Political Economy",114.1,61,"Brown","A_1",3,3,-0.026,0.011,NA,2.217391,2.52381,"two sided","0.011609 < p < 0.026596","0 < p < 0.01","Brown_61_A_1_3_3"
8,2006,"Journal of Political Economy",114.1,61,"Brown","A_2",2,3,0.189,0.116,NA,1.618026,1.640693,"two sided","0.100861 < p < 0.105657","0.05 < p < 0.1","Brown_61_A_2_2_3"
